,problem,encoding,cheeger_lb,cheeger_ub
0,Mat26.shuffled,polar_var,0.009042956089709129,0.190188917549989
1,cnt07.shuffled,polar_var,1.8031067722158025e-05,0.008492600949569697
2,par32-5-c.shuffled,polar_var,0.0012532255081735692,0.07080185048919468
3,apex7_gr_2pin_w4.shuffled,polar_var,0.000835556890624132,0.05781200188971601
4,ca032.shuffled,polar_var,0.00030425797815185405,0.03488598447238398
5,urquhart4_25.shuffled,polar_var,0.006357939540398387,0.15947337759511318
6,ezfact16_1.shuffled,polar_var,0.010019137978451925,0.20019128830647875
7,dp05s05.shuffled,polar_var,0.001345030989117154,0.07334932826187719
8,hanoi4.shuffled,polar_var,0.0007074042896951902,0.05319414590705222
9,glassy-sat-sel_N210_n.shuffled,polar_var,0.11909356241248764,0.6901987030196091
10,61.shuffled,polar_var,0.0014313418601582465,0.07566615782919724
11,med11.shuffled,polar_var,0.00884905306815406,0.18813881118104323
12,c3540-s.shuffled,polar_var,0.0012158638050738517,0.06973847732991743
13,bart30.shuffled,polar_var,0.006589252490820817,0.1623484214992042
14,rope_0050.shuffled,polar_var,2.4672590238249315e-05,0.009934302237852303
15,comb1.shuffled,polar_var,0.0012557735504373003,0.07087379065457979
16,3col120_5_4.shuffled,polar_var,0.03080089658328529,0.35100368421590844
17,5cnf_4000_4000_60t5.shuffled,polar_var,0.2320596292349571,0.9634513568104144
18,Mat26.shuffled,var_incidence,0.018625393883309204,0.2729497674174441
19,cnt07.shuffled,var_incidence,5.1452433424027904e-05,0.014346070322430168
20,par32-5-c.shuffled,var_incidence,0.0038915481314803022,0.124764548353774
21,apex7_gr_2pin_w4.shuffled,var_incidence,0.003025818818711566,0.11001488660561472
22,ca032.shuffled,var_incidence,0.0012222482437365693,0.06992133419026182
23,urquhart4_25.shuffled,var_incidence,0.01895623195379684,0.275363265188346
24,ezfact16_1.shuffled,var_incidence,0.04256290098557422,0.41261556434809493
25,dp05s05.shuffled,var_incidence,0.005545883009005075,0.14894137113649888
26,hanoi4.shuffled,var_incidence,0.0023227284166957834,0.09638938565414314
27,glassy-sat-sel_N210_n.shuffled,var_incidence,0.08302878997199274,0.5762943344229327
28,61.shuffled,var_incidence,0.009378141254144474,0.1936816073265035
29,med11.shuffled,var_incidence,-1.4714505965527684e-17,
30,c3540-s.shuffled,var_incidence,0.0037440144117980288,0.12237670385817766
31,bart30.shuffled,var_incidence,0.09748015027318535,0.6244362266018375
32,rope_0050.shuffled,var_incidence,8.223993904394922e-05,0.018137247756365816
33,comb1.shuffled,var_incidence,0.004063024321918562,0.12748371381346815
34,3col120_5_4.shuffled,var_incidence,-1.225871256356943e-17,
35,5cnf_4000_4000_60t5.shuffled,var_incidence,0.4542376539941474,1.3479431056155855
